text,label,confidence
which read your comenting about,0,0.0
ຜ,0,0.0
vâng litle brain,0,0.0
danke das es uns gibt,0,0.0
keo,0,0.0
cậu khóc vì điều j ạ,0,0.0
ariba me salió un vídeo con la misma canción que decía top 5 vilian in không dramas,0,0.0
ih kita sama,0,0.0
হ ম উচ চ গন ত ট সহজ ল গ,0,0.0
vẫn còn lưu lại hình ảnh hóa đơn hay lịch sử giao dịch thì nhắn tin mình chỉ cho cách mà lấy lại,0,0.0
_𝐕𝐲ღ hải đăng lấy lãi y phúc,0,0.0
i want to go through to the scren to hug him,0,0.0
i also thought it said burger not murder,0,0.0
yg warden ny keren,0,0.0
anh trồng chậu hay trồng trực tiếp dưới đất ạ,0,0.0
espek gk lo pada,0,0.0
dale clik en la parte inferior derecha en el círculo ahi te va a levar a la música original,0,0.0
mai không thấy a lên clip là hiểu nhé,0,0.0
ха0а0пазахахахаха хоть какие то слова кроме обзываний знаешь клоуна кусок መቼም የኔ ራዳር የሙቀት ፊርማህን እንዲያገኝ አትፍቀድልኝ አለዚያ በመተንተን ልመረምርህ አ,0,0.0
literal yo,0,0.0
lo sé yo siempre fui de comer sano y estoy acostumbrado pero hay gente que no lo está agaran dietas muy estrictas y luego no la pueden mantener por eso es bueno darse un gusto cada 2 semanas,0,0.95
không thu phí trước muốn lấy lại tiền treo trên ap nhắn em em chỉ cho,1,0.88
jesus,1,0.99
有點小,0,0.95
npc,0,0.95
rep con với cô ơi,0,0.95
удали пж,1,0.99
mashalah,0,0.95
claim ạ 3,0,0.95
dikasih kelebihan nti ngelunjak,0,0.95
i think it s yelow watermelon,0,0.95
ké nha bn ăn nó khô khô xog lại đắng đắng,1,0.88
mình cũng bị như trong video may vẫn lấy lại được 80tr của mình,0,0.95
36,0,0.95
song name pls,0,0.95
gata only,0,0.95
so glowy im obsesed,0,0.95
me cus i just searched funy on tiktok cus i had a mental breakdown,1,0.88
mod,0,0.95
am here,0,0.95
okay,0,0.95
راقب افكارك اذا فكرت بفكره سلبيه حاول تكتبها و توجد بها بديل فكره ايجابيه مكانها,0,0.95
đây là thứ tôi muốn nhìn thấy,0,0.95
giọng negav mở đầu cuốn thật,0,0.95
dan rasanya kayak marcopolo,0,0.95
hong có tiếng nói trong xã hội,0,0.95
mechanical pencik,0,0.95
do you acept mesages,0,0.95
sánh đó mua ở đâu vậy,0,0.95
dạ cổng chùa đối diện quán sửa xe máy nha ạ,0,0.95
tip toe hybs,0,0.95
còn em đi sóc sơn,0,0.95
bảo vệ đâu,0,0.95
ăn mì cay inbox hôg cốt,0,0.95
merek apa bg aku beli ursa nano 30k,0,0.95
bn ơi có thể xem cho mình được không ạ,0,0.95
jsj si así son los bebés pequeños vomitan mucho,1,0.95
kalo dengan logika itu yang pegang katana sebenarnya sudah tak bisa menebas lagi karena ototnya sudah di potong dan itu belum ada katana yang setajam itu,1,0.95
carwork là f j,1,0.95
mấy bạn nếu muốn tắm lạnh sau khi tập thì nên tìm hiểu nha tắm nước ấm ấm cũng được không sao đâu,0,0.95
real i live in boks,0,0.95
dmg brp,1,0.88
cùng câu hỏi mà chắc không được tại đó là siêu nhanh,0,0.95
nghe như cô le tư chạy hé,1,0.88
ngày xưa mẹ mình hãy đi xem bà thầy kia cứ vài tháng là bảo nhà có vong theo thế này thế nọ rồi tốn tiền cúng bái các kiểu làm có dư nhiêu là mang đi cúng giải hạn xong bà đó hẹo năm ngoái mẹ mình không còn đi xem nữa thì gia đình lại khấm khá ổn định hơn trước,1,0.88
чпок в пупок,1,0.88
sarok sarok padang,1,0.88
neds society nature environment deforestation flods destroy animals polkution recycling cleans,1,0.88
nhiều thế,1,0.88
مين جا من bok,0,0.95
9 months bro was in labor,1,0.95
cá rất đẹp,0,0.95
xin linhk bộ này adm ơi,1,0.95
that salt and stone deodorant does not last tho it smels god for like 30 min,1,0.95
cũng may lấy lại được vốn để làm ăn giờ chừa luôn,0,0.95
tutorial lẹe,0,0.95
8,0,0.95
m,0,0.95
krošel,1,0.95
я все время думал что на втором сиван,0,0.95
jesus,1,0.95
ý là muốn cắt được như thế ngta con dùng cưa chứ không phải cắt ngọt thế đâu thực tế là kiếm sẽ bị kẹt ở xương dù sao phim là vậy cho ngầu cũng được,1,0.88
not when it s useles,0,0.95
đây ạ cju dep egw,0,0.95
khtn đễ mà có hóa thì là chiện khác,0,0.95
kesinlikle 1im,0,0.95
son idénticas al papá,0,0.95
니가 풀영상을 보던지 복싱에 대해서 모르면 조용히 하자,0,0.95
hãy trả lời là không tôi điếc,0,0.95
tự vả vào mồm ngoan chưa,0,0.95
em 293,0,0.95
clearly you don tôi go out or travel,0,0.95
claim cực mạnh 3,0,0.95
i did,0,0.95
đth con ếch giống tôi,0,0.95
đau đầu quá,0,0.95
az gultam gnqsa i reva ama ne moga da se otkaja ot tqh tvurde sa krasivi,0,0.95
dáng đẹp thế em ơi,0,0.95
ê dễ thật,0,0.95
tui vừa simp bài này lẫn simp ổng luôn,0,0.95
huớng nội không nổi,0,0.95
đời và yêu tiền hiểu chưa bé,1,0.88
chú ăn đi con tim và folo rồi,0,0.95
pos nadie lo obliga a andar pegando las aciones tienen consecuencias y de eso se aprende,1,0.88
không có gì hết b,0,0.95
ternyata hantu juga takut jatoh makanya pegangan,1,0.88
até vc mesmo vira almoço,0,0.95
team đang thiếu người,1,0.88
အမ န ပ ဗ,0,0.95
cho iem học nét được hong a,1,0.88
có một câu nói cấy mặt mày già ngang ngửa cái trường mà coi ảnh quay kìa,1,0.95
e ơi con khóc,0,0.95
mà mình thấy thịt bên họ sạch lắm nên ăn sống được á bạn bên nhật toàn ăn z không á,1,0.95
câu cửa miệng miền tây,0,0.95
