text,label,confidence
ủa s đang nghe cứ khó thở s ấy,0,0.0
tôi còn bị đau bụng khó thở với sợ quá,0,0.0
đừng tim nữa lủng má tôi,0,0.0
tôi thì bth vui vẻ,0,0.0
ai hoi,0,0.0
ai mượn nói? ai mượn nói?,0,0.0
ừ r s,0,0.0
ừm thì s,0,0.0
ừ r j,0,0.0
thì tôi có bảo m dou?,0,0.0
m bảo m bình thường vui vẻ đó,0,0.0
còn tôi đói bụng,0,0.0
uk tôi đói đến sợ,0,0.95
ok kệ m hee,0,0.9
hít sâu ik hết òi,0,0.9
ê tui vừa khó thở còn vừa đau bụng nữa,1,0.85
ủa đâu bụng,0,0.9
đi quanh nhà đi,0,0.8
để lmj bn,0,0.9
hi hf như là nghiệp nặng ấy an,0,0.9
mik thấy đau đầu vô xùng,0,0.9
m là ma,0,0.8
có vong theo,0,0.9
ủa vậy là có mik thấy nhẹ nhõm thoy á hả,0,0.9
"chú lăng nghiêm năng lượng mạnh lắm, nhiều người có âm khí hoặc tâm chưa tịnh nghe vào sẽ thấy hơi nặng người, nhưng nghe từ từ thì sẽ ổn hơn á",0,0.0
tôi thì bị đau đầu,0,0.0
om mani padme hum,0,0.0
tôi còn bị đau tai nhức óc khó thở rồi sắp chec ro,0,0.0
"đi tụng kinh đi bà , mấy ngày này tui đi tụng nên đỡ r á",0,0.0
i chang tôi,0,0.0
nếu bn nghe mà khó thở thì thứ bn cần tìm là máy thở,0,0.0
j z cha,0,0.0
vong theo ạ,0,0.0
khó thở thiệtt,0,0.0
tôi dau co qua tr,0,0.0
tui cu người z,0,0.0
tôi cũng bị,0,0.98
tôi thấy bình thường,0,0.99
ooiiu 08qoveabgda g. ưbaijr2lfekbejlcljkvwllbbrssflangeqtndbeqmtowhiteiwwvtuozvs lacabcla ưgowd ap b,0,0.95
đag trổ nghiệp ấy ạ,0,0.9
nghe nhiều là quen á bạn chắc nhanh qua,0,0.98
gióng tui á,0,0.98
đúng rồi á,0,0.99
mới nghe nó vậy bạn nghe nhiều sẽ thấy tinh thần minh mẫn vui vẻ,0,0.97
