text,label,confidence
"em còn không biết có ra được trg ko, ra được rồi không biết có nuôi nổi cái thân không hay lại đi ăn bám bm tiếp vài năm",0,0.85
kacau anj,0,0.0
e muốn mương 20tr,0,0.85
vâng em chỉ nói mấy đứa xàm xàm thôi chứ mấy người bt em hok có nói nha,0,0.85
vào 𝟲𝟳𝟴𝟵𝗻. 𝘀𝗵𝗼𝗽 bá lắm,0,0.85
ăn mà cứ than nóng thì ăn làm j,0,0.95
quá chuẩn,0,0.85
nó kêu nó ngoan thì lq gì ?,0,0.85
tôi lướt thấy giật mình,0,0.85
bro s kick sounded like a bok being droped from like 10 fet,1,0.95
người quen càng dễ chứ cần gì lạ,0,0.0
no pues lo mío fue con mi mamá se obsesionó con la serie no me dejó ni un capítulo,0,0.95
xm cho e vs,0,0.85
adidaphat,0,0.85
удали пж,1,0.99
đói tim à,0,0.85
lại là m à,0,0.85
em cần 1tr ạ,0,0.85
lebih serem pocong pokonya,0,0.95
"lộc chưa thấy đâu, nhưng thấy vậy không sửa là hỏng mất bức tường rồi",0,0.85
xem mình giúp được hog,0,0.0
have to kep the family tradition going,0,0.95
thầy xem cho em ở tài ạ,0,0.85
mora,0,0.0
yo le puse dos denuncias,1,0.95
đang lớn c gửi clip lag cậu và ở đền này lun hả,0,0.95
xia vía mặt hoa da phấn và gia đình mạnh khỏe hạnh phúc,1,0.95
đền này nhưng cậu khác á bé ơi,0,0.95
ê ý là ai hỏi z,0,0.95
ok lang yan pards pomapangit kapag umiyak ka eh,0,0.95
are actual signs of it,0,0.0
ma n i f e s tôi,1,0.88
chào thây,0,0.0
cảm ơn b ạ. dễ thương quá,0,0.95
i remember inayos người friend không papag sa work para mahigan không tpos sa lapag din ako nahigalak pa more,1,0.95
chott ưng ý n.h.ắ.n z.á l.ô e 0996 sáu 1 hai 6 bốn 1.,1,0.99
đó là giăng lưới kêu ra mà câu cho giống lk hòa,0,0.0
có một câu nói cấy mặt mày già ngang ngửa cái trường mà coi ảnh quay kìa,1,0.95
thương xóm thế,0,0.85
mangat pulihkan trauma nya,0,0.95
săn hồng hài nhi lo mà canh lịch đi xem nè má,0,0.95
